id,learningEdge,congestion,density,gpsProbeSpeed,speed
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.58,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.58,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.58,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.58,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.58,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.58,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.58,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.59,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.61,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.62,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.63,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.65,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.68,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01181684,9.68,9.1
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.68,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01329394,9.68,9.09
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.56,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.45,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.47,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.49,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01624815,9.01,9.08
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,8.6,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,8.27,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,8.32,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02067947,8.42,9.06
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.02067947,8.42,9.06
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,8.38,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,8.29,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,7.74,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01772526,6.86,9.07
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",B,0.01920236,7.22,9.07
